P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09427627A0930|114 122|MAP kinase
P10567538A1028|114 122|CH3 domain
P07862150A0429|114 121|TGF-beta
P01845899A0000|114 120|AAV gene
P09315678A0278|114 120|Nopp140
P08454591A1322|114 120|NF-IL-6
P08144668A0802|114 120|GPHe(P2
P08637717A0817|114 120|cyclin E
P11112700A1936|114 120|plectin
P09869400A0203|114 119|germin
P01446828A1088|114 118|NF-E1
P09605137A0677|114 118|LFA-3
P09396796A1173|114 118|CDF-1
P11139148A0421|114 118|satMa
P10671520T0000|114 118|HIV-1
P08395014A1364|114 117|PPZ2
P10026146A0680|114 117|PrKX
P10836786A0516|114 117|MRP3
P09642200A0956|114 117|ahaK
P08637717A1231|114 117|PCNA
P08649372A0755|114 117|Mbp1
P09891061A1240|114 117|SpHE
P08497280A0266|114 117|SWI4
P09482902A0423|114 117|CDK6
P00089778A0000|114 116|FDP
P08733881A0343|114 116|TSH
P07559488A0440|114 116|ERE
P09736770A0351|114 116|Sp3
P10406466A0000|114 116|e.g
P09849965A0000|114 116|hPR
P10414451A0093|114 116|APC
P10548434A1549|114 116|ERK
P11281268A0000|114 116|AKs
P10878398A0542|114 116|Epo
P10825200T0000|114 116|Lck
P01995951A0000|114 116|Sp1
P01380062A0097|114 116|Y-3
P10811908A0938|114 116|I-1
P01524549A0241|114 115|GH
P01645902A1462|114 115|TK
P09858713A1174|114 115|Wg
P08816759A0000|114 115|TR
P08879237A0744|114 114|R
P11043469A0440|114 114|T
P10775038A0142|114 114|s
P08062833A0000|115 148|helix-loop-helix myogenic regulators
P09234717A0000|115 145|receptor-coupled tyrosine kinases
P11256962A0233|115 145|homologous GlyR alpha subunit genes
P06369355A0834|115 144|trfA-encoded replication protein
P08728040T0000|115 141|basic fibroblast growth factor
P08049444A0351|115 137|A-T-rich binding protein 1
P07489502A0000|115 135|poly A-containing mRNAs
P11278928A1634|115 134|C/EBPepsilon isoforms
P07791760A0424|115 133|immune complex kinase
P08808707A0631|115 133|Jun N-terminal kinase
P02111015A0574|115 132|IFN response factors
P11691585A1174|115 132|cKrox family members
P08412665A0000|115 132|a specific repressor
P08483479A1056|115 132|I) collagen promoter
P10727433A0560|115 131|activator protein 1
P08637711A1121|115 130|Stat-binding site
P08641705A0986|115 130|Hbs Lepore or Kenya
P10782989A0575|115 130|DNA binding domain
P10780883T0000|115 130|interferon-alpha
P09135149A0000|115 129|tyrosine kinases
P09892662A0334|115 129|adenylyl cyclase
P01329039A0951|115 128|Ig kappa E2 E-box
P02725495A0929|115 128|metazoan U2 RNAs
P09531549A0658|115 128|yAP180 proteins
P07565688A0797|115 128|150-kDa protein
P02647918A0588|115 127|somatomedin-C
P09884747A0477|115 127|yeast antigens
P08063766A0595|115 127|soluble lamin B
P08486705A0181|115 126|eIF-5 protein
P10613863T0000|115 126|pfoA promoter
P10593939A0747|115 125|SR45 protein
P11003653A0198|115 125|beta-globin
P08100843A0134|115 123|Cd22 locus
P09369450A1358|115 123|HNF-1 site
P11486476A0147|115 123|troponin T
P08276865A1188|115 123|MAP kinase
P07559356T0000|115 122|fnrN gene
P11356853A0429|115 122|pHO15luc
P09328824A0000|115 122|TR) alpha
P10972990A0526|115 122|TK) locus
P08637006A0000|115 121|TBP site
P09767593A0130|115 121|p130Cas
P01116466A0185|115 120|V, VIII
P06784123A0771|115 120|mu chin
P00715753A0241|115 119|CK-MB
P10444597A0586|115 119|Npl3p
P07799948A0777|115 119|Raf-1
P10669633A0391|115 119|THP-1
P07583562A1826|115 119|LDL-C
P09872832A1262|115 119|IL-12
P07891685A1051|115 119|Mig1p
P07623807A0162|115 119|v-Ras
P08977235A0588|115 119|STAT3
P02154599T0000|115 118|AP-1
P07730273A1309|115 118|NarL
P11504545A0393|115 118|CV-1
P09535082A0537|115 118|PrfA
P08654435A0540|115 118|Erk2
P02595451A1136|115 118|MIC1
P10476970A0542|115 118|G(i)
P08676456A0879|115 118|VP16
P07629122A0323|115 118|NIMA
P08152800A0357|115 118|ER81
P02123820A0000|115 117|MAO
P11238375A0617|115 117|p38
P10024383T0000|115 117|twy
P11056007A0224|115 117|SET
P11226752A0750|115 117|E47
P09627285A0554|115 117|hMG
P10722737A1726|115 117|Sp1
P08631934A0000|115 117|MBS
P01502157A0000|115 116|P2
P10224257A0079|115 116|P2
P09564860A2139|115 115|i
P10972980A0295|115 115|C
P10229682A1151|116 154|interleukin-6-binding-site-like sequence
P09892021A0712|116 152|pituitary tumor growth-regulating factor
P08104189A1168|116 150|Golgi-associated vacuolar-type ATPase
P01840513A1019|116 147|chloramphenicol acetyltransferase
P11004369A0000|116 146|vascular endothelial growth factor
P09794795A0183|116 144|signal transducing subunit gp130
P06185493A0468|116 141|bovine muscle pyruvate kinase
P02758382A0478|116 140|sex hormone binding globulin
P07672821A0763|116 138|factor H-related proteins
P10347220A1477|116 137|RNA guanylyltransferase
P10423292A0782|116 137|cAMP-responsive element
P11224226A0000|116 137|benzodiazepine receptor
P07592771A0258|116 136|alpha 1-syntrophin gene
P08228805A0540|116 136|protein tyrosine kinase
P01285009A0000|116 135|viral thymidine kinase
P08813766A0605|116 135|C2H2 zinc finger domain
P08794339A1162|116 134|CREB-binding protein
P11522626A1374|116 132|estrogen receptors
P08524267A1022|116 131|myc-derived genes
P10490955T0000|116 131|thrombospondin-1
P08280476A0602|116 130|ETS-binding site
P08551577A0000|116 130|envelope protein
P08622668A1155|116 129|C1 hnRNP protein
P04014833A0400|116 128|concanavalin A
P01674817T0000|116 127|RNA15 protein
P03417668A1233|116 127|CaM-kinase II
P00055040A0000|116 125|fibrinogen
P00993176A0066|116 125|hemoglobin
P02158927A0000|116 124|tRNA(Gly)
P08076631A0000|116 124|AP-1 + VDRE
P10681562A0263|116 124|wild-type
P08394019A0695|116 124|SH3 domain
P03619249A0428|116 123|anti-HBe
P10891399A1185|116 123|AP-1 site
P10869076A1384|116 123|rut sites
P10564593A0428|116 123|S1-M1-80
P09271397A1596|116 122|Sp1 site
P10805286A0914|116 122|PCI mRNA
P11012680A1020|116 122|PDGF-BB
P07966583A1268|116 121|Mlvi-4
P09190202A0166|116 121|Sec13p
P10805747A0633|116 121|septin
P10683259A0774|116 121|biotin
P10681588A0899b|116 121|ATF)-4
P10681588A0899a|116 121|ATF)-4
P08769132A0000|116 121|hMSH-2
P02229068A0156|116 120|gp160
P08088777A0754|116 120|Grp78
P10436016A0337|116 120|Mad1p
P09488486A0906|116 120|Pol II
P10400757A0000|116 120|HIV-1
P08195216A1022|116 120|GCN4p
P10903733A0540|116 120|TRAF2
P11438651A1365|116 120|Orc2p
P09837945A0820|116 120|Sop1p
P09049313A0116|116 120|eIF4G
P10681520A0525|116 120|Cdc42
P09776360A1781|116 120|DLD-1
P07933066T0000|116 119|DP-1
P08858211A0694|116 119|Rab4
P09611234A0098|116 119|SMRT
P08497269A0999|116 119|GCN2
P10036191A0000|116 119|TFEB
P10594239A0614|116 119|Tih1
P08345191A1140|116 119|MCL1
P08647086T0000|116 119|Cdk7
P08382300A0341|116 119|VP23
P06328504A0161|116 118|PGK
P10446912A0883|116 118|Sp3
P09652736A1205|116 118|E2F
P10722063A0328|116 118|v/v
P09918715A1158|116 118|TBP
P11389085A1032|116 118|RET
P08376796A0172|116 118|IgG
P10454533A0859|116 118|HRI
P09079902A0713|116 118|Pra
P10564495A0444|116 118|CEA
P07935451T0000|116 118|p65
P10965135A1207|116 118|MKK
P00512215A0000|116 117|f1
P09696819A0450|116 117|ER
P11564893A1068|116 116|R
P02118525A0737|117 157|herpes simplex virus thymidine kinase promoter
P11112700T0000|117 145|microtubule associated proteins
P10318806A0918|117 144|phosphatidylinositol 3-kinase
P03025655T0000|117 143|Fujinami sarcoma virus P130gag
P07720572A1584|117 143|chromosomal myoD core enhancer
P08383217A0357|117 142|C-terminal activation domain
P08106512A0522|117 141|interferon-alpha and -gamma
P09211913A0000|117 140|hypoxia-inducible factor 1
P10972980A0295|117 140|heterotrimeric G-proteins
P08088513A0419|117 136|U2 spliceosomal snRNAs
P08614403A0989|117 136|GAL4 response elements
P07565731A1629|117 135|ARE-binding proteins
P08291233A0000|117 135|Rous sarcoma virus LTR
P02493644A0588|117 134|serum growth factors
P09786926A0095|117 134|fatty-acid synthase
P07957632A0000|117 134|glutamate receptors
P08916928A0950|117 134|PDGF beta-receptors
P08356944A0589|117 133|cyanmethemoglobin
P10497874A0925|117 133|PLC-gamma1 isozyme
P07935418A0447|117 132|nuclear receptors
P08622887A1026|117 132|GRE-2 and -3 motifs
P09388199A0948|117 132|DNA binding domain
P10919971A0606|117 130|creatine kinase
P08626325A0543|117 128|a heterodimer
P08749394A0874|117 128|RAM23 regions
P07891708A1192|117 127|HNF-4 delta C
P11851941A0372|117 127|haemoglobin
P09790986A0689|117 127|human NRAMP2
P08091669A0828|117 127|ie1 promoter
P07477245A0625|117 126|aflatoxins
P09882321A0948|117 126|EBNA-3 gene
P09564860A2139|117 126|o) proteins
P10638607A0000|117 126|T1-3 N0-1 M0
P02744490A0894|117 125|PTHrP gene
P08415637A0000|117 125|G proteins
P08657157A0000|117 125|POU domain
P08654946A0475|117 125|human gene
P09799086A0725|117 125|HPRT exon 3
P08223576A1261|117 124|T protein
P08861963A0375b|117 124|cAMP-CRP
P09862496A0187|117 124|betaGLU I
P09662339A0744|117 124|CD44 mRNA
P08873063A0875|117 123|LpS1 RNA
P10200473A0171|117 123|FLAME-1
P08755898A0339|117 122|avrBs2
P08761480A0331|117 122|RPDE-6
P03061383A0000|117 121|TEM-1
P08386318A1102|117 121|Ca(2+
P11220306A1753|117 121|hexA+
P09882303T0000|117 121|TRADD
P09057325A0177|117 121|Bg/II
P09242551A0653|117 121|EBER1
P02199311A0620|117 120|RET1
P08805338A1061|117 120|Ogg1
P10713175A1399|117 120|Mdm2
P08918885A1087|117 120|Dig2
P09339900A0939|117 120|PEA3
P09852005A1287|117 120|PEP1
P10805737T0000|117 120|eIF5
P09418905A1396|117 120|PDGF
P07534285A0155|117 120|BaF3
P09045805A0945|117 120|acoK
P09139892A1150|117 120|dorf
P09312025A0373|117 120|p110
P08891337A0614|117 120|p300
P02123029A0478|117 119|CH1
P09032259A0150|117 119|Ras
P09197241A0770|117 119|p58
P10833486A0598|117 119|ALT
P10319327A1237|117 119|SRF
P08361755A0734|117 119|Tax
P07547500A0066|117 119|p40
P10544088A0308|117 119|Tat
P11168422A0248|117 119|Kp2
P08702644A0499|117 119|DAF
P08710377A0577|117 119|Shc
P08876167A0717|117 119|cut
P10706887A0281|117 119|ALK
P08037338A0000|117 119|EPO
P02637597A0362|117 118|C3
P07440430A1074|117 118|Hb
P11528127A1402|117 118|L1
P08624445A0257|117 118|Ac
P01723619A0766|117 117|F
P07796935A0284|118 162|human peroxisome proliferator-activated receptor
P08662936A0428|118 157|mouse embryonic TEA domain-containing factor
P09889306A0321|118 155|gibbon ape leukemia virus envelope proteins
P10194769A0146|118 152|PRL regulatory element binding) protein
P08417331A0745|118 146|yeast transcriptional repressor
P07797583A0222|118 144|transcription initiation site
P10551879T0000|118 140|green fluorescent protein
P07854130T0000|118 138|type 4 prepilin proteins
P01644831A0824|118 133|nuclear receptors
P11223246A0359|118 133|C-terminal region
P08432137A0000|118 132|pleural lysozyme
P09259315A0809|118 132|GT-IIC enhansons
P08126096A0478|118 131|human sequences
P09834070A0793|118 131|protein kinase C
P10938135A0259|118 131|tyrosine kinase
P08882710A0000|118 131|beta (type I IFNs
P09022040A0263|118 130|L-plastin gene
P10801482A0968|118 130|kappaB targets
P01309587A0715|118 129|c-myb protein
P10848605T0000|118 129|Eph receptors
P07823953A0777|118 129|I kappa B alpha
P08668158A0765|118 129|tRNA met f gene
P02081463A0110|118 128|protein-DNA
P06414990A0057|118 128|thyrotropin
P03280946A0375|118 128|lac promoter
P11431348A0000|118 128|MAPK) kinase
P11034547A1355|118 128|DBH promoter
P08207232A0503|118 128|NF-IL-6 site
P02685565A0165|118 127|c-myb genes
P09765411A0991|118 127|bovine mRNA
P11834476A1187|118 127|hemoglobin
P09369482A0690|118 127|G6Pase gene
P08605931A0777|118 127|U1A protein
P08914522A0118|118 126|high-gene
P10532805A1084|118 126|nrg-1 mRNA
P11145590A0217|118 126|TGF-beta1
P09354676A1714|118 126|FGFR3 gene
P10493580A1126|118 125|esterase
P08382303A0507|118 124|E1 genes
P09181130A1587a|118 124|Krox-20
P11583621A0301|118 124|hTAF(II
P01279374A0396|118 123|PET122
P09224655T0000|118 123|ClC-6c
P10359663A1280|118 123|GATA-2
P10051488A1293|118 123|HMAP-1
P07708058A0178|118 122|c-jun
P09305755A0540|118 122|C/EBP
P09858577A1186|118 122|Sko1p
P08955189A1198|118 122|EGR-1
P08145646T0000|118 122|nifU2
P08618433A0000|118 122|FLK-2
P10611225A1127|118 122|eIF4A
P10611235A1927|118 122|Ste5p
P10101198A0946|118 122|mTERF
P09261155A0833|118 122|IRS-1
P07559488A0440|118 121|LacZ
P09099745A1446|118 121|Cdk2
P09139910A0350|118 121|nifV
P11564893A1068|118 121|MGMT
P09763470A1756|118 121|CREB
P09712915A0672|118 121|NF-Y
P09874803A0000|118 121|SpeB
P09786197A0322|118 121|csrR
P10376874A0759|118 121|eRF1
P09382924A0131|118 121|LMP7
P08099443A0359|118 121|GCN4
P09121433A0463|118 121|SMP1
P08836172A1382|118 121|Waf1
P08030243A1011|118 121|NS35
P03001353A0146|118 120|mos
P07745685A1442|118 120|CAT
P07580058A0000|118 120|PAI
P07525548A1380|118 120|CS1
P07711667A0766|118 120|FAB
P10517672A1417|118 120|NF1
P10644357A0935|118 120|VP2
P10637149A0806|118 120|A-A
P09111004A0732|118 120|p38
P10400785A0912|118 120|CAN
P07061350A0042|118 119|f2
P09519828A0809|118 119|E2
P10414451A0093|118 118|R
P10487759A0630|119 150|Xbra2 promoter-driven reporter gene
P11034547A0674|119 145|homeodomain recognition sites
P01433502A1163|119 143|an enhancer-specific factor
P11353774A0255|119 142|hepatocyte nuclear factor 3
P11260468A1179|119 141|histone-like protein H-NS
P09275164A0000|119 140|RNA guanylyltransferase
P01400401A0854|119 136|truncated AMPD3 cDNA
P09223475A0898|119 135|HCMV early promoter
P10607566A0880|119 135|retinoid X receptor
P09234743A0475|119 135|C) binding proteins
P07683375A0000|119 134|estrogen receptor
P07826625X0000|119 134|C-terminal domain
P07647570A0713|119 133|Type I deiodinase
P08065901A0997|119 133|protein-protein
P07828600A0095|119 131|beta-promoter
P10358075A0984|119 131|IGF-1 receptor
P08471629A0816|119 129|Histone IIIS
P07936650A0656|119 128|Ets-1-beta
P10727428A0000|119 128|MAP kinases
P08600028A1129|119 128|Myc protein
P10903843A0447|119 128|Kcnq1 genes
P09629449A0540|119 128|peroxidase
P08035796A0890|119 128|eIF-2 alpha
P11550795A2583|119 128|Fas-ligand
P01645902A1462|119 127|UL 24 genes
P10871045A1221|119 127|C/EBPbeta
P10744749T0000|119 127|KIX domain
P09829843A0819|119 127|rHu GM-CSF
P06507629A0717|119 127|min-1 X g-1
P11160307A0394|119 127|CH3 domain
P09544991A0750|119 126|m-Stat5b
P11056007A0224|119 126|Suvar3-9
P01317376A0981|119 125|frk mRNA
P08979089A1197|119 125|TATA box
P03146017A0983|119 125|ORFtrpB
P10747099A0507|119 125|c-CrkII
P02139891A0532|119 125|TATA box
P08530384A0559|119 125|Oct-DNA
P07601445A0207|119 125|Ce08102
P10205588A0000|119 125|beta HSA
P09716179A0974|119 125|p21Cip1
P09162097A0776|119 124|LPAM-1
P09857197A0289|119 124|RanGTP
P09115395A0478|119 123|Oct91
P10650958A1315|119 123|c-myb
P09488486A0000|119 123|Pol) I
P09165004A1700|119 123|Elk-1
P07823951A1100|119 122|EKLF
P09010223A0667|119 122|Egr1
P09083291A1378|119 122|cdk 2
P10406459A0000|119 122|CREB
P10733569A0364|119 122|HSF2
P08057421A1583|119 122|CBF1
P11274357A0724|119 122|Rac1
P08995410A1109|119 122|p110
P08643578A0532|119 122|lacZ
P09388198A1396|119 122|rhoB
P01357190A0726|119 121|CD4
P08072352A0567|119 121|IgE
P10640683A0204|119 121|PKN
P08668210A0000|119 121|Ras
P02502602A0323|119 121|p50
P09786926A1372|119 121|SRE
P01652755A1492|119 120|RB
P08754777A1214|119 120|dn
P11127250A1111|119 120|VL
P08582143A0614|119 120|S1
P07642633T0000|120 148|transcription enhancer factor-1
P07784197A0827|120 148|TGF-beta 1 dependent RNA-protein
P10704499A0682|120 147|nonreceptor tyrosine kinase p59
P10734312A0503|120 147|Ras membrane localization motif
P10441506A0098|120 146|leucine-zipper like sequences
P10691972T0000|120 146|multidrug resistance protein 3
P04033402A1112|120 144|hepatic triglyceride lipase
P01448917A0775|120 143|red clover mottle virus RNA 1
P09172414A0000|120 141|serum and liver esterases
P10749849A0000|120 141|cyclin-dependent kinase
P11226752A0750|120 140|basic helix-loop-helix
P10779508T0000|120 139|human lactoferrin gene
P01328681A0149|120 138|LTR-binding proteins
P09252406A0511|120 138|phospholipase Cgamma
P08663141T0000|120 138|angiotensinogen gene
P08163546A1230|120 137|vacuolar hydrolases
P08443340A0522|120 137|beta-glucuronidase
P01420363A0818|120 136|nuclear AP1 factors
P09694514A0000|120 135|C3a peptide ligand
P08332495A0408|120 134|T7 RNA polymerase
P09279379A0310|120 133|H2B histone gene
P09694897T0000|120 133|bZIP-like motif
P08220494A0231|120 132|T-cyt promotor
P09852136A0174|120 132|hemagglutinin
P09372924A0758|120 132|hHR23 proteins
P08995652A0812|120 132|UL80.5 protein
P08828152A1238|120 132|viral proteins
P09445056A0215|120 131|gp41 oligomer
P11103792A0755|120 131|growth factor
P10518822A1037|120 131|CCR3 receptor
P10529354A0375|120 131|26S particles
P07172690A0547|120 130|Ca++-ATPase
P07753837A0724|120 130|plakoglobin
P08643111A0855|120 130|chimeric LL2
P08106313A1492|120 130|sigma factor
P08063791A1370|120 130|Ras proteins
P01581965A0388|120 129|n-chimerin
P08683106A0374|120 129|STAT1 alpha
P02061282A0447|120 128|pilin gene
P09368190A1053|120 128|IFN-gamma
P08552093A0657|120 127|Gq family
P10767553A0100|120 127|HNF3beta
P09011744A0790|120 127|epsilon 4
P11040101A1180|120 127|IL-1 beta
P09731513A1090|120 127|IL-8 gene
P07590283A0820|120 126|Pol beta
P10874044A0647|120 126|pE1-luc
P08824798A0761|120 126|rat CRIP
P09731704A1472|120 125|ERELuc
P11106668A0875|120 125|c-IAP1
P01360294A0000|120 124|AT III
P08917435A0481|120 124|c-jun
P09192769T0000|120 124|CCR-4
P10359575A0317|120 124|bIgG2
P10564495A0444|120 124|CD66e
P10713176A0422|120 124|v-Jun
P10229668A0560|120 124|eIF4E
P07537851A0891|120 124|IRF-1
P11352671A0492|120 124|V gene
P08529654A0589|120 124|Cyp-1
P01765095A0680|120 123|CMD1
P08877103A0081|120 123|V2-1
P11504709A0981|120 123|GPIX
P09671464A0316|120 123|Snf1
P08260635A0926|120 123|GapB
P09642214A0244|120 123|MAPK
P10702794A1495|120 123|ERK2
P07687541A0200|120 123|mtr1
P11108720A1130|120 123|S6K2
P09261184A0170|120 123|NF-Y
P09423310A0251|120 123|CD34
P08649428A1227|120 123|Cdc2
P08189533A0919|120 123|NS53
P07565776A0612|120 123|Hog1
P07687541A0992|120 123|CNR2
P01783088A1136|120 122|l-1
P11241243A0693|120 122|p53
P11327698A0191|120 122|PKC
P02358975A0709|120 122|IgA
P08522175A0306|120 122|NAC
P07958898A1050|120 122|Sp1
P11069756A2618|120 122|FAK
P10815410A0000|120 122|TNF
P10627834A0178|120 122|Rex
P09278441A1160|120 122|Csx
P08923469A1391|120 122|VDR
P09029091A0881|120 121|A2
P09652736A1205|120 121|DP
P11528127A1402|120 121|L2
P11070078A1153|120 121|E7
P10469140A0336|121 164|chloramphenicol acetyl transferase reporter gene
P10679065A0711|121 164|MAPK-activated protein kinase-2 immune complexes
P10749145T0000|121 155|extracellular signal-regulated kinase
P07964458A0179|121 154|macrophage-specific membrane protein
P09132011A0298|121 153|Drosophila cell cycle control protein
P07766885A0405|121 151|calmodulin-like regulatory domain
P11023832A1038|121 150|mitogen-activated protein kinase
P01977585A0222|121 147|cAMP-dependent protein kinase
P01742606A0000|121 146|235 kDa spectrin beta-subunit
P07453919A0000|121 146|alkaline and acid phosphatase
P07588240A0000|121 146|IL-1 beta)-converting enzyme
P09872832A1262|121 145|tumor necrosis factor-alpha
P09285789A0712|121 144|spectrin-like repeat units
P10899142A0000|121 144|G protein-coupled receptor
P10318806A0000|121 143|c-Jun NH2-terminal kinase
P11152521A0181|121 136|primase-helicase
P10712618A0181|121 135|Escherichia coli
P08383622T0000|121 134|viral promoters
P09415711A1348|121 134|alpha 1B-AR gene
P08182056A0695|121 133|NQO gene family
P01630455A0448|121 132|TATA box motif
P08896402A0587|121 132|30 kD subunits
P07644466A0578|121 132|NS4A cofactor
P09990060A0803|121 132|CD18 promoter
P09613574A0905|121 131|MGMT protein
P10544089A1208|121 131|IRES(MP,75)
P10759693A0201|121 131|H2-receptor
P09710589A1111|121 129|HTLV-1 LTR
P10395908A0236|121 129|R7G family
P08647086T0000|121 128|cyclin-H
P10828591A0080|121 128|D11S1765
P07533858A1503|121 127|GP64 EFP
P09360422A0135|121 127|beta-TG
P09478971A1896|121 126|Cyp1B1
P10684265T0000|121 126|SUMO-1
P01538403A1058|121 125|TFIID
P02967496A0182|121 125|cpc-1
P07983744A0920|121 125|IE110
P08218230A1505|121 125|HNF-1
P10330168A0135|121 125|Dbf4p
P02689439A0402|121 125|pmGT2
P09197241A0770|121 125|c-fgr
P02010912A0366|121 125|pulAp
P01331501A0397|121 124|p130
P01547942A0120|121 124|CHOP
P07871721A0000|121 124|p223
P08640866A0473|121 124|MAPK
P09013760A0000|121 124|ACTH
P01333053A0110|121 124|ACTH
P08509333A0843|121 124|FtsN
P10066790A0497|121 124|AP-4
P09032258A0395|121 124|B7-1
P10036191A0000|121 124|TFEC
P01386897A0000|121 124|CLN1
P09341139A0690|121 124|GRK2
P08621542A0535|121 124|CD28
P09882303A1413|121 124|LMP1
P01542686A0000|121 123|p65
P07890740A0997|121 123|PSD
P02761008X0000|121 123|ChE
P10330396A0387|121 123|p62
P11319098A0164|121 123|L11
P11289149A0658|121 123|CBP
P01930470A0337|121 123|PTH
P09037032T0000|121 123|Rb1
P09371626A1345|121 123|VP2
P01549129A0356|121 123|Src
P09837920A0222|121 123|JNK
P09442024A0708|121 123|P47
P07061350A0042|121 122|f1
P09536028A0945|121 122|TF
P11208814A0673|121 122|m5
P10029337A0406|121 122|CK
P10836786A0516|121 122|P3
P10775267A0363|121 121|T
P02019572A0000|122 166|chloramphenicol acetyltransferase reporter genes
P09727046A0000|122 155|human beta-globin locus control region
P01310899A0339|122 154|cytoplasmic serine/threonine kinase
P08533472A0777|122 152|cycloheximide-resistance protein
P08642313T0000|122 149|nuclear factor-kappa B proteins
P09528768A0000|122 149|ER-resident chaperone proteins
P09677410A1059|122 145|liver-specific enhancer II
P01992459A0000|122 144|virus-encoded protein Rev
P08429019A2022|122 143|ABF-1 consensus sequence
P08999857A0801|122 142|alpha1(I) collagen gene
P07237560A1038|122 140|concatenated Hind III
P01850096A0662|122 139|cardiac alpha-actin
P10512882A0137|122 139|Src family of kinases
P07782302A0479|122 139|Ran-binding protein
P09305944A0621|122 137|C-terminal domain
P07958911A0500|122 136|homeotic complex
P09714835A0345|122 136|CPE)-like enzyme
P11309389A0273|122 136|metalloprotease
P08943032A0000|122 136|protein-protein
P08183915A0000|122 133|I kappa B gamma
P01413984A0737|122 131|fibrinogen
P08212571A0971|122 131|tat mutants
P10469656T0000|122 130|histone H3
P02154599T0000|122 129|ZRE sites
P08820642A0173|122 129|hrp genes
P09382886A1061|122 129|p53(-/-)
P11084334A0590|122 128|auxilin
P01429740A1065|122 127|E2 gene
P07525596A0584|122 127|PPIase
P10400785A0912|122 127|Nup214
P02115122A0562|122 126|c-Fos
P10898795A0527|122 126|HDACs
P08663219A0246|122 126|PGS-2
P11283014A0921|122 126|actin
P09528987A1348|122 126|T/EBP
P08816460A1769|122 126|Erk-2
P02473718A0000|122 126|OKT3+
P10092847A0455|122 126|I gene
P07534285A0155|122 125|mMpl
P10074903A0915|122 125|IFNs
P08455623A0630|122 125|NOP1
P09852005A1287|122 125|SAP1
P10894816A0836|122 125|IL-6
P10657899A0685|122 125|AP-1
P08088777A0754|122 125|Pbx3
P10846054A0573|122 125|RNA 2
P11254504A0766|122 125|MyoD
P11161793A1033|122 125|EGFR
P08637717A0817|122 125|Cdk2
P03159903A0352|122 124|IHF
P09396796A1173|122 124|E2F
P09488441A0615|122 124|Sp1
P08111035A0098|122 124|GUS
P07798207A0759|122 124|ETF
P10050883A0967|122 124|Tpo
P09425036A0649|122 124|Csk
P11145571A0788|122 124|GAS
P08798443A0660|122 124|Myb
P08573083A0645|122 124|USF
P07015262A0396|122 124|CRP
P10781552A0000|122 124|H(2
P09339900A0939|122 124|AP2
P09271393A1333|122 124|CBP
P01116466A0185|122 123|IX
P02637597A0362|122 123|C4
P11043469A0440|122 123|TR
P08421910A0599|122 123|uv
P09400613A0594|123 168|RNA-binding-deficient human PKR(1-551)K64E/K296R
P03016506A0611|123 156|EBV-associated nuclear antigen EBNA-1
P08868954A0648|123 149|angiotensin converting enzyme
P02026147A0000|123 147|mammalian type II CaM kinases
P08223613A0519|123 146|trehalose synthase complex
P09716183A1036|123 145|ERK kinase consensus sites
P10367646A0569|123 145|alanine aminotransferase
P07563090A0124|123 142|3' long terminal repeat
P11181516A0119|123 142|Hh-responsive regions
P09311796A0218|123 141|transcription factor
P08798420A0207|123 140|PRDII/kappaB domain
P09368419A0000|123 139|ABA-dependent gene
P08626777A0537|123 137|link protein gene
P09858745A2033|123 136|clcA transcript
P09228202A0581|123 135|5-HT4 receptor
P01828248A0189|123 134|UvrAB complex
P02580830A1131|123 134|mouse AFP gene
P10542249A0415|123 133|C/EBP)alpha
P01710768A1172|123 132|HLA-B7 gene
P02351239A0693|123 132|mucosal HDC
P10727247A0461|123 132|TEF-1gamma
P11371417A0744|123 132|TNF)-alpha
P07969181A0313|123 132|p53 protein
P07635572A1153|123 131|CIITA mRNA
P10024498A0783|123 131|HNF-3beta
P09010223A0667|123 131|SREI and II
P09614065A0966|123 130|AP-1 site
P11238405A0817|123 130|spc1 MAPK
P11505407A0461|123 130|TNFalpha
P01429596A1669|123 129|18K-LAF
P09368419A0628|123 129|rd22BP1
P09199348A0156|123 129|Y domain
P09605930A1428|123 129|ALS gene
P02997777A0609|123 128|top2 ts
P11017876A0787|123 128|mDAP-3
P08264617A0000|123 128|ErbB-3
P02229068A0156|123 127|SU.TM
P03061383A0000|123 127|Oxa-1
P11094075A0257|123 127|v-mos
P09710599T0000|123 127|c-fms
P07542616A0486|123 127|eIF-3
P02251119A0319|123 127|hsc70
P01653238A1062|123 126|AP-1
P08818718A1229|123 126|MDR1
P09395525A0395|123 126|HS3D
P09605137A0677|123 126|B7-1
P09079878A0000|123 126|lasA
P09057325A0177|123 126|SmaI
P08662193A0404|123 126|NIT4
P08524292A1022|123 125|YY1
P10612044A1180|123 125|Aal
P10502216A0289|123 125|TPA
P09029091A0881|123 125|HCP
P09079650A0136|123 125|p38
P09642276A0881|123 125|Fak
P08918464A0225|123 125|MEL
P09763470A1756|123 125|AP2
P10733591A0146|123 125|JNK
P10490826T0000|123 125|E2a
P08816459A0090|123 124|TR
P09731704A0000|123 124|U2
P10329586A0414|123 124|FN
P02542612A0530|123 123|Z
P10775267A0363|123 123|T
P11730182A0984|123 123|r
P02403926A0000|124 160|trk proto-oncogene receptor kinase domain
P10406459A0000|124 160|cAMP-responsive element-binding protein
